site,year,grazing,dist_road,litter_depth,abund_all,rich_all,abund_songbird,rich_songbird
SAN DIEGO,2002,grazed,884.590270996,25.0625,14,10,11,8
SAN DIEGO,2002,grazed,939.414733887,20,21,13,17,9
SAN DIEGO,2002,grazed,1064.48339844,13.5,11,8,7,6
SAN DIEGO,2002,grazed,1250.99963379,12.625,18,12,8,4
SAN DIEGO,2002,grazed,1770.76965332,10.4375,21,16,17,12
SAN DIEGO,2002,grazed,1575,11.875,23,15,20,12
SAN DIEGO,2002,grazed,1325,11.8125,12,9,9,7
SAN DIEGO,2002,grazed,1100,15.1875,15,14,12,11
SAN DIEGO,2002,grazed,125,8.0625,15,9,13,7
SAN DIEGO,2002,grazed,400,6.0625,19,14,15,12
SAN DIEGO,2002,grazed,700,9,27,16,24,13
SAN DIEGO,2002,grazed,1000,14.2916666667,22,15,22,15
SAN DIEGO,2002,grazed,1333.46350098,5.875,24,14,23,13
SAN DIEGO,2002,grazed,1193.99536133,3.5,29,20,20,13
STONEHILL,2000,ungrazed,213.600097656,3.6875,26,14,23,11
STONEHILL,2000,ungrazed,25,1.875,8,5,7,4
STONEHILL,2000,ungrazed,369.120574951,1.875,21,14,15,9
STONEHILL,2000,ungrazed,325.960113525,5.8125,22,17,17,13
STONEHILL,2000,ungrazed,625,12.8125,14,11,12,9
STONEHILL,2001,ungrazed,213.600097656,52.75,18,13,10,7
STONEHILL,2001,ungrazed,25,14.125,17,13,14,10
STONEHILL,2001,ungrazed,369.120574951,35.9375,18,12,10,7
STONEHILL,2001,ungrazed,50,10.75,14,12,10,9
STONEHILL,2001,ungrazed,555.090087891,37.1875,20,15,17,13
STONEHILL,2001,ungrazed,625,24.375,11,10,9,8
STONEHILL,2002,ungrazed,213.600097656,60.625,10,9,10,9
STONEHILL,2002,ungrazed,25,25.25,19,13,13,8
STONEHILL,2002,ungrazed,369.120574951,40.75,24,21,15,14
STONEHILL,2002,ungrazed,50,21.875,12,9,8,7
STONEHILL,2002,ungrazed,325.960113525,36.5,23,18,17,13
STONEHILL,2002,ungrazed,555.090087891,50.125,28,18,23,14
STONEHILL,2002,ungrazed,625,36,18,14,10,7
TILLEY O,2000,grazed,425,4.6875,29,18,29,18
TILLEY O,2000,grazed,618.465820313,0.9375,21,16,19,15
TILLEY O,2000,grazed,512.957092285,0.125,28,14,24,12
TILLEY O,2000,grazed,106.066017151,0,20,12,19,11
TILLEY O,2000,grazed,176.776702881,0.3125,25,15,24,14
TILLEY O,2000,grazed,369.120574951,0.625,27,16,25,14
TILLEY O,2000,grazed,200,0.3125,22,13,19,10
TILLEY O,2000,grazed,350,0,27,16,23,12
TILLEY O,2000,grazed,223.606796265,1.875,19,13,19,13
TILLEY O,2000,grazed,880.695739746,1.875,25,16,20,13
TILLEY O,2000,grazed,887.764038086,3.125,20,12,19,11
TILLEY O,2000,grazed,860.232543945,1.25,24,16,19,12
TILLEY WEST,2001,grazed,536.772766113,4.625,25,18,17,12
TILLEY WEST,2001,grazed,340.036773682,4.3125,25,17,19,12
TILLEY WEST,2001,grazed,141.421356201,3.375,31,16,20,10
TILLEY WEST,2001,grazed,145.773803711,3.75,38,22,24,15
TILLEY WEST,2001,grazed,450,5.8125,24,14,13,9
TILLEY WEST,2001,grazed,150,3.125,27,15,22,11
TILLEY WEST,2001,grazed,150,6.25,32,20,23,14
TILLEY WEST,2001,grazed,450.693908691,9.9375,36,17,29,11
TILLEY WEST,2001,grazed,388.104370117,5.375,22,15,11,7
TILLEY WEST,2001,grazed,150,6.25,23,20,15,12
TILLEY WEST,2001,grazed,150,6.0625,17,13,12,8
TILLEY WEST,2001,grazed,450,3.8125,16,13,12,9
