atypical,urbanization
1,0.539655703578965
0,0.582261212246515
0,-0.949912626808369
0,-0.949912626808369
0,0.513169385773174
0,1.69378832039512
0,1.50636840928036
0,1.72378356367149
0,1.2834506147961
0,1.43214861197003
0,-0.949912626808369
0,-0.949912626808369
0,1.05880136438714
0,-0.724469395446247
0,0.0769095134551686
0,0.0769095134551686
0,1.36669844623579
0,-0.848640524886322
0,-0.809250870904359
0,1.6091306575895299
0,-0.934235105067045
0,0.997787961128231
0,-0.888456226097841
0,0.0470463509900663
1,0.871017447435704
1,1.54340927353602
0,-0.46683852196992
0,1.61059690974637
0,-0.934924072808261
0,-0.949912626808369
0,-0.836020923992088
0,1.54617079502853
0,-0.883496271569439
0,-0.321502352073026
0,-0.904273112446956
0,-0.925633965948664
1,2.00947631044008
0,0.377479441740098
0,-0.514218314192227
0,0.676381926299205
0,-0.427118701820302
1,0.800062212066862
0,-0.397927579012596
0,-0.922591188337232
0,0.318273202631845
0,0.158570450765752
0,-0.949912626808369
0,-0.949912626808369
1,-0.924843631847825
0,-0.906521757846847
0,0.211957111077387
0,1.30139699951776
1,1.71610800399625
0,-0.0694387645269507
0,-0.851724093224014
0,-0.949912626808369
0,-0.608322799078641
0,2.00067761749723
0,-0.762762846305818
0,-0.924807157138227
0,-0.838215856266571
0,-0.949912626808369
0,-0.770560751263795
0,0.632022522651194
0,1.88645264878518
0,-0.949912626808369
0,-0.949912626808369
0,0.864568979687538
0,-0.556859652312867
0,-0.6009382971586
0,-0.716944872237773
0,-0.941406359989706
0,-0.716814461038407
0,-0.0616697643458176
1,1.36554460400222
0,-0.258298060205783
0,-0.949912626808369
0,-0.749398312797465
