urbanization,songs,calls
0.793733897625522,0,136
0.889622542479412,60,12
-1.85028086267157,55,66
-1.85028086267157,22,115
0.835034617287832,95,3
-1.85028086267157,0,70
-1.85028086267157,25,44
3.04847927906554,0,122
2.64322368673676,80,1
-1.53988803644516,0,45
-0.447279942896265,2,45
2.64632938072927,0,130
3.16959110965618,63,37
2.20877959077308,61,38
2.54308892725822,84,0
-1.85028086267157,42,8
-1.85028086267157,0,111
2.06626901340844,23,18
1.7851639427541801,54,57
-1.4404819986683,105,0
0.00190005917899239,48,0
0.783079157689925,59,50
2.35517909792193,23,39
-1.64533443481717,77,20
-1.59758617034362,28,76
2.97809852101286,8,75
2.8400620960158802,46,10
-1.8185539406712,36,83
-1.79638957710238,35,109
1.02905757655063,21,29
-1.72591028523351,29,45
-0.0108473568696026,41,91
1.4819165255007,71,48
2.78830856572426,48,69
3.30694822218118,4,71
-0.994765270062432,116,0
-1.76763215637243,23,28
2.90297260619827,10,127
-1.81994821880693,51,53
-1.69406366953259,0,95
-1.85028086267157,54,84
-1.61979588989577,72,0
2.45699419101301,70,3
-1.7337388627683,32,105
-1.53777737958287,0,119
-0.684443306901119,52,45
0.137031879314315,0,82
-1.51560817931928,0,45
-1.75791924224642,0,157
-1.80114763918901,71,73
-1.85028086267157,0,132
